City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,avarua,-21.2078,-159.775,28.03,74,20,2.57,CK,1681071271
137,carutapera,-1.195,-46.02,27.31,82,29,2.27,BR,1681071506
138,hithadhoo,-0.6,73.0833,27.52,71,4,0.53,MV,1681071506
139,remontnoye,46.5614,43.6501,8.55,83,72,2.14,RU,1681071506
140,dongsheng,39.8161,109.9776,5.87,35,53,5.1,CN,1681071326
141,puerto ayora,-0.7393,-90.3518,31.98,83,92,2.24,EC,1681071506
142,sistranda,63.7256,8.834,6.98,74,0,7.41,NO,1681071506
143,barrow,71.2906,-156.7887,-21.99,77,100,6.69,US,1681071507
144,kahului,20.8947,-156.47,26.65,74,40,8.23,US,1681071507
145,sibolga,1.7427,98.7792,24.15,88,100,1.56,ID,1681071507
146,yulara,-25.2406,130.9889,21.38,32,79,3.97,AU,1681071507
147,techiman,7.5862,-1.9414,25.88,70,100,1.88,GH,1681071507
148,siguiri,11.6667,-9.5,31.58,39,67,1.07,GN,1681071507
149,katsuura,35.1333,140.3,13.74,65,31,5.7,JP,1681071508
150,port hardy,50.6996,-127.4199,6.1,93,100,2.57,CA,1681071448
151,jundia,-8.9347,-35.5736,26.03,79,92,3.66,BR,1681071508
152,baghmara,23.795,86.2085,28.9,21,13,3.23,IN,1681071508
153,albany,42.6001,-73.9662,13.71,20,1,1.51,US,1681071310
154,poum,-20.2333,164.0167,26.08,72,3,0.61,NC,1681071508
155,helong,42.5397,128.9972,4.77,70,6,2.89,CN,1681071509
156,neuquen,-38.9516,-68.0591,28.94,15,0,4.12,AR,1681071509
157,qaanaaq,77.484,-69.3632,-20.93,73,0,2.28,GL,1681071509
158,pizarro,4.9533,-77.366,28.72,75,64,3.28,CO,1681071509
159,mpongwe,-13.5091,28.155,17.83,95,68,2.09,ZM,1681071509
160,ponta delgada,37.7333,-25.6667,16.4,94,20,4.63,PT,1681071510
161,nome,64.5011,-165.4064,-18.96,78,100,5.66,US,1681071510
162,monchegorsk,67.9397,32.8739,-3.15,95,88,1.27,RU,1681071510
163,coihaique,-45.5752,-72.0662,13.97,62,75,2.06,CL,1681071510
164,bethel,41.3712,-73.414,14.73,27,0,1.54,US,1681071465
165,ylivieska,64.0833,24.55,3.82,96,52,1.82,FI,1681071511
166,murray bridge,-35.1167,139.2667,12.29,69,100,0.52,AU,1681071334
167,alofi,-19.0595,-169.9187,27.94,78,75,6.17,NU,1681071511
168,westport,41.1415,-73.3579,14.7,31,0,3.6,US,1681071511
169,sao felix do xingu,-6.6447,-51.995,26.08,96,81,0.21,BR,1681071511
170,constitucion,-35.3333,-72.4167,19.16,47,98,4.24,CL,1681071445
171,sokoni,-6.4333,39.55,27.87,76,100,5.99,TZ,1681071229
172,beisfjord,68.3751,17.5988,2.03,85,23,3.18,NO,1681071512
173,voyvozh,62.892,54.9635,-4.24,88,92,4.39,RU,1681071512
174,beloha,-25.1667,45.05,23.22,88,0,4.92,MG,1681071512
175,muisne,0.6,-80.0333,28.11,72,91,4.27,EC,1681071512
176,barhi,23.9,80.8,27.64,30,85,2.0,IN,1681071513
177,narsaq,60.9167,-46.05,3.12,85,100,0.63,GL,1681071513
178,dikson,73.5069,80.5464,-25.21,88,100,4.07,RU,1681071513
179,whyalla,-33.0333,137.5833,14.96,73,0,3.7,AU,1681071513
180,chapais,49.7834,-74.8492,7.88,75,81,5.25,CA,1681071287
181,umm kaddadah,13.6017,26.6876,29.94,9,97,4.62,SD,1681071513
182,vardo,70.3705,31.1107,1.99,80,75,8.75,NO,1681071514
183,bonavista,48.6499,-53.1147,-3.57,81,100,5.65,CA,1681071514
184,mahebourg,-20.4081,57.7,25.14,94,75,2.06,MU,1681071514
185,hirara,24.8,125.2833,17.15,72,40,1.54,JP,1681071514
186,nador,35.174,-2.9287,18.14,72,0,1.03,MA,1681071514
187,adrar,20.5022,-10.0711,23.4,46,64,9.78,MR,1681071294
188,liepaja,56.5419,21.0367,8.99,57,20,3.09,LV,1681071303
189,berezovyy,51.6667,135.7,-0.54,87,96,1.29,RU,1681071514
190,touros,-5.1989,-35.4608,26.78,82,38,4.97,BR,1681071346
191,umm lajj,25.0213,37.2685,26.97,57,24,0.56,SA,1681071515
192,wanning,18.8003,110.3967,23.66,94,100,2.99,CN,1681071515
193,rimavska sobota,48.3828,20.0224,4.92,77,68,1.39,SK,1681071516
194,hofn,64.2539,-15.2082,6.81,93,100,11.48,IS,1681071265
195,kalengwa,-13.4659,25.0027,19.57,80,100,1.86,ZM,1681071516
196,saldanha,-33.0117,17.9442,12.03,74,0,2.91,ZA,1681071517
197,pevek,69.7008,170.3133,-28.44,100,100,2.3,RU,1681071517
198,goderich,43.7501,-81.7165,11.18,46,1,3.6,CA,1681071517
199,hamilton,39.1834,-84.5333,19.02,31,0,5.66,US,1681071484
200,las cruces,32.3123,-106.7783,29.06,12,0,3.6,US,1681071288
201,camacha,33.0833,-16.3333,16.68,72,40,5.14,PT,1681071517
202,half moon bay,37.4636,-122.4286,25.33,56,0,7.72,US,1681071517
203,olinda,-8.0089,-34.8553,27.85,74,40,4.63,BR,1681071501
204,kieta,-6.2167,155.6333,25.83,81,100,1.19,PG,1681071518
205,la asuncion,11.0333,-63.8628,29.85,62,83,9.77,VE,1681071358
206,ponta do sol,32.6667,-17.1,19.45,75,4,2.53,PT,1681071518
207,syamzha,60.0158,41.0614,-1.57,96,7,1.98,RU,1681071518
208,arlit,18.7369,7.3853,29.78,10,100,5.29,NE,1681071519
209,derzhavinsk,51.1,66.3167,2.91,46,5,2.61,KZ,1681071519
210,mabaruma,8.2,-59.7833,29.06,58,59,3.04,GY,1681071519
211,lolodorf,3.2333,10.7333,22.37,99,100,1.24,CM,1681071519
212,havre-saint-pierre,50.2334,-63.5986,0.2,69,0,10.8,CA,1681071519
213,menongue,-14.6585,17.691,17.57,67,43,2.35,AO,1681071520
214,clyde river,70.4692,-68.5914,-17.87,65,0,1.03,CA,1681071520
215,eydhafushi,5.1033,73.0708,28.63,73,11,5.3,MV,1681071520
216,kawalu,-7.3817,108.2082,21.97,97,98,0.5,ID,1681071520
217,saint george,37.1041,-113.5841,24.13,21,0,1.79,US,1681071412
218,jurado,7.1053,-77.7641,29.74,66,41,3.6,CO,1681071520
219,ambon,-3.6954,128.1814,24.08,94,20,3.09,ID,1681071505
220,bluff,-46.6,168.3333,11.56,89,100,3.57,NZ,1681071520
221,newport,51.5877,-2.9984,11.76,79,100,4.43,GB,1681071521
222,beringovskiy,63.05,179.3167,-18.93,98,97,2.83,RU,1681071521
223,port lincoln,-34.7333,135.8667,15.25,71,41,4.11,AU,1681071293
224,fukuma,33.7667,130.4667,10.08,67,0,2.29,JP,1681071521
225,kutum,14.2,24.6667,27.22,11,15,2.87,SD,1681071521
226,alyangula,-13.8483,136.4192,27.11,80,100,4.02,AU,1681071521
227,port moresby,-9.4431,147.1797,22.68,100,40,2.57,PG,1681071521
228,aksu,41.1231,80.2644,15.22,18,100,2.68,CN,1681071521
229,bulgan,48.8125,103.5347,-3.68,34,25,5.4,MN,1681071522
230,reynoldsburg,39.9548,-82.8121,17.53,33,0,3.58,US,1681071522
231,lahij,13.1667,44.5833,25.6,65,2,3.11,YE,1681071522
232,kloulklubed,7.0419,134.2556,25.28,75,100,6.71,PW,1681071522
233,pueblo nuevo,23.3833,-105.3833,25.82,10,48,3.7,MX,1681071522
234,vilhena,-12.7406,-60.1458,26.12,73,0,0.51,BR,1681071523
235,jabinyanah,35.035,10.9081,15.89,62,1,5.37,TN,1681071523
236,dhidhdhoo,6.8833,73.1,28.7,74,6,5.37,MV,1681071523
237,atar,20.5169,-13.0499,28.54,11,0,3.61,MR,1681071523
238,yinchuan,38.4681,106.2731,13.02,18,16,4.01,CN,1681071523
239,edd,13.9297,41.6925,31.69,50,8,8.33,ER,1681071523
240,naze,28.3667,129.4833,13.51,55,61,2.14,JP,1681071523
241,ha giang,22.8333,104.9833,18.98,89,100,0.17,VN,1681071524
242,norsup,-16.0667,167.3833,27.51,81,32,2.83,VU,1681071524
243,ribeira grande,38.5167,-28.7,17.22,94,75,5.14,PT,1681071287
244,cherskiy,68.75,161.3,-23.37,88,6,0.95,RU,1681071524
245,jardim,-21.4803,-56.1381,25.18,80,91,1.98,BR,1681071524
246,boa vista,2.8197,-60.6733,34.99,34,20,3.6,BR,1681071524
247,moron,-34.6534,-58.6198,27.75,51,1,2.12,AR,1681071525
248,smoljan,43.0924,19.2286,-0.66,99,100,2.02,ME,1681071525
249,yichun,47.7,128.9,2.95,49,99,0.92,CN,1681071525
250,fortuna,40.5982,-124.1573,18.53,63,94,3.22,US,1681071525
251,ust-tsilma,65.441,52.1498,-2.64,94,99,5.0,RU,1681071525
252,tagusao,9.1924,117.8141,25.88,83,74,2.21,PH,1681071526
253,lichinga,-13.3128,35.2406,15.88,98,34,2.55,MZ,1681071526
254,loukhi,66.0764,33.0381,-0.47,93,93,0.88,RU,1681071526
255,labuhan,-6.8844,112.2051,25.14,87,99,2.21,ID,1681071526
256,egvekinot,66.3167,-179.1667,-20.37,84,93,0.91,RU,1681071526
257,santa cruz do rio pardo,-22.8989,-49.6325,23.6,81,70,2.38,BR,1681071526
258,san andres,12.5847,-81.7006,30.01,62,20,5.14,CO,1681071526
259,meadow lake,34.8014,-106.5436,22.7,11,83,5.17,US,1681071527
260,carauari,-4.8828,-66.8958,25.15,84,100,1.11,BR,1681071322
261,sitka,57.0531,-135.33,6.94,70,100,2.06,US,1681071279
262,miandrivazo,-19.5167,45.4667,25.66,75,0,0.51,MG,1681071527
263,minsk,53.9,27.5667,7.86,65,92,2.66,BY,1681071440
264,manosque,43.8288,5.7869,9.76,60,0,1.7,FR,1681071396
265,lhokseumawe,5.1801,97.1507,24.66,83,100,1.84,ID,1681071527
266,bengkulu,-3.8004,102.2655,23.62,90,100,1.94,ID,1681071528
267,tomatlan,19.9333,-105.25,33.65,24,91,4.47,MX,1681071528
268,malibu,34.005,-118.8101,30.14,82,39,2.51,US,1681071264
269,kaputa,-8.4689,29.6619,20.77,88,98,1.3,ZM,1681071528
270,kushmurun,52.4503,64.6311,2.76,47,0,2.22,KZ,1681071528
271,george,-33.963,22.4617,13.14,80,0,2.16,ZA,1681071528
272,bijar,35.8668,47.6051,10.61,38,78,1.91,IR,1681071529
273,abha,18.2164,42.5053,17.14,48,0,0.0,SA,1681071529
274,tvoroyri,61.5556,-6.8111,7.54,89,100,12.49,FO,1681071529
275,cidreira,-30.1811,-50.2056,22.91,80,83,6.81,BR,1681071529
276,mahibadhoo,3.7833,72.9667,28.69,72,5,4.89,MV,1681071529
277,longyearbyen,78.2186,15.6401,0.91,86,100,7.72,SJ,1681071239
278,biak,-0.9131,122.8766,24.92,80,82,1.92,ID,1681071530
279,ossora,59.2353,163.0719,-2.85,96,100,9.31,RU,1681071530
280,zhangjiakou,40.81,114.8794,10.22,33,15,0.82,CN,1681071530
281,praia da vitoria,38.7333,-27.0667,18.14,88,20,2.98,PT,1681071530
282,avera,33.194,-82.5271,18.64,47,69,7.01,US,1681071530
283,bathsheba,13.2167,-59.5167,29.34,65,20,8.75,BB,1681071530
284,narasannapeta,18.4167,84.05,26.66,71,2,2.78,IN,1681071530
285,gat,31.61,34.7642,25.78,35,100,3.89,IL,1681071531
286,peace river,56.2501,-117.286,12.17,43,75,3.6,CA,1681071531
287,kampong cham,11.9934,105.4635,28.42,62,97,3.53,KH,1681071531
288,port elizabeth,-33.918,25.5701,16.16,77,0,7.2,ZA,1681071277
289,impfondo,1.6381,18.0667,24.32,78,82,0.91,CG,1681071531
290,mandalgovi,45.7625,106.2708,-1.92,33,0,8.89,MN,1681071531
291,port-cartier,50.0334,-66.8654,4.12,76,100,6.07,CA,1681071532
292,fukue,32.6881,128.8419,13.08,57,0,3.58,JP,1681071532
293,dalvik,65.9702,-18.5286,7.96,92,99,3.37,IS,1681071532
294,platteville,42.7342,-90.4785,20.13,23,98,7.49,US,1681071533
295,bourges,47.25,2.4167,12.77,77,100,2.62,FR,1681071533
296,hasaki,35.7333,140.8333,4.22,59,63,3.08,JP,1681071533
297,axim,4.8699,-2.2405,25.88,85,100,3.23,GH,1681071533
298,eslov,55.8393,13.3039,4.57,83,89,2.6,SE,1681071533
299,pauini,-7.7136,-66.9764,25.71,82,98,1.39,BR,1681071534
300,palaikastron,35.2,26.25,13.94,76,20,4.44,GR,1681071534
301,mancio lima,-7.6142,-72.8958,27.04,81,75,2.57,BR,1681071534
302,kudahuvadhoo,2.6708,72.8944,28.26,73,14,4.31,MV,1681071534
303,xining,36.6167,101.7667,6.78,16,19,1.28,CN,1681071534
